Geolocation,Commodity,2010 Annual,2011 Annual,2012 Annual,2013 Annual,2014 Annual,2015 Annual,2016 Annual,2017 Annual,2018 Annual,2019 Annual,2020 Annual,2021 Annual,2022 Annual
..REGION I (ILOCOS REGION),"Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),Squash,11.06,14.08,12,12.74,12.39,18.11,18.02,14.63,19.86,20.73,18.7,24.61,28.18
..REGION I (ILOCOS REGION),Tomato,22.64,24.72,22.74,28.32,20.49,28.39,26.45,22.12,31.8,23.35,33.33,25.2,34.37
..REGION I (ILOCOS REGION),"Tomato, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),Upo [Bottle gourd],16.32,11.1,18.34,14.68,11.79,14.43,14.3,13.31,18.7,18.75,17.59,16.63,15.81
..REGION II (CAGAYAN VALLEY),Ampalaya [Bitter gourd],26.51,34.38,30.74,32.51,28.29,39.2,42.15,37.59,50.49,42.71,52.71,46.52,52.78
..REGION II (CAGAYAN VALLEY),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,24.64,27.29,27.43,31.29,47.52,35.16,48.31,38.53,46.42
..REGION II (CAGAYAN VALLEY),Chayote,13.74,13.45,13.51,11.58,11.58,16.55,17.93,13.06,22.84,18.55,19.34,20.58,19.4
..REGION II (CAGAYAN VALLEY),Cucumber,18.51,..,..,..,..,..,..,..,..,26.78,27.5,34.52,51.68
..REGION II (CAGAYAN VALLEY),"Eggplant long, purple",14.88,28.95,21.56,18.83,23.21,24.82,30.08,29.76,38.18,31.05,32.71,38.15,36.37
..REGION II (CAGAYAN VALLEY),"Eggplant native, round",..,..,..,..,24.17,21.46,22.85,24.47,38.27,34.3,35.12,37.88,36.22
..REGION II (CAGAYAN VALLEY),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION II (CAGAYAN VALLEY),Okra,22.52,29.91,25.02,22.42,23.66,23.58,26.96,25.27,39.12,27.7,34.67,28.92,30.13
..REGION II (CAGAYAN VALLEY),"Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION II (CAGAYAN VALLEY),Squash,12.26,15.72,12.53,11.51,12.99,14.07,16.26,17.2,20.72,18.37,16.71,26.08,19.51
..REGION II (CAGAYAN VALLEY),Tomato,25.14,28.6,24.19,26.26,18.38,26.11,23.94,21.31,27.14,23.09,36.19,29.09,38.41
..REGION II (CAGAYAN VALLEY),"Tomato, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION II (CAGAYAN VALLEY),Upo [Bottle gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),Ampalaya [Bitter gourd],37.01,47.21,41.49,45.96,41.15,52.58,45.14,42.29,57.17,50.52,55.98,53.65,66.38
..REGION III (CENTRAL LUZON),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),Chayote,..,15.11,18.38,14.53,15.31,21.27,20.83,16.08,26.75,23.29,21.31,23.13,23.04
..REGION III (CENTRAL LUZON),Cucumber,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),"Eggplant long, purple",..,35.61,29.78,34.52,34.03,37.11,32.5,33.97,45.33,36.22,36.6,45.26,46.55
..REGION III (CENTRAL LUZON),"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),Okra,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),"Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),Squash,..,17.42,13.75,14.71,16.75,15.47,19.78,21.93,25.69,22.23,20.61,30.65,26.58
..REGION III (CENTRAL LUZON),Tomato,28.2,30.66,29.28,32.87,23.7,33.02,29.2,23.06,31.83,28.22,42.67,35.94,45.77
..REGION III (CENTRAL LUZON),"Tomato, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),Upo [Bottle gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IV-A (CALABARZON),Ampalaya [Bitter gourd],30.69,38.35,35.99,36.71,34.52,40.33,42.75,41.91,51.83,45.9,58.27,51.92,64.5
..REGION IV-A (CALABARZON),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IV-A (CALABARZON),Chayote,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IV-A (CALABARZON),Cucumber,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IV-A (CALABARZON),"Eggplant long, purple",14.62,29.77,26.35,24.56,26.75,25.83,29.29,32.83,40.2,34.55,40.32,45.9,51.58
..REGION IV-A (CALABARZON),"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IV-A (CALABARZON),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IV-A (CALABARZON),Okra,22.68,31.69,25.65,23.2,25.48,29.87,36.22,35.96,42.87,41.02,48.8,52.69,65.23
..REGION IV-A (CALABARZON),"Patola [Dishrag gourd], native",..,..,17.83,18.09,18.87,19.97,20.71,19.53,26.54,29.09,33.25,29.18,..
..REGION IV-A (CALABARZON),Squash,12.3,17.37,16.52,15.02,15.54,17.41,18.15,18.52,22.23,22.14,19.87,27,27.31
..REGION IV-A (CALABARZON),Tomato,22.16,27.92,25.31,27.67,22.42,28.59,30.87,27.71,35.35,34.53,51.94,37.94,51.3
..REGION IV-A (CALABARZON),"Tomato, green",..,..,..,..,..,..,34.94,27.31,33.08,29.97,58.01,35.2,53.49
..REGION IV-A (CALABARZON),Upo [Bottle gourd],10.05,15.98,16.07,11,11.45,15.82,14.28,14.77,19.86,18.21,23.8,20.55,22.54
..MIMAROPA REGION,Ampalaya [Bitter gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA REGION,Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA REGION,Chayote,..,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA REGION,Cucumber,..,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA REGION,"Eggplant long, purple",..,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA REGION,"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA REGION,Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA REGION,Okra,..,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA REGION,"Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA REGION,Squash,..,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA REGION,Tomato,..,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA REGION,"Tomato, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA REGION,Upo [Bottle gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION V (BICOL REGION),Ampalaya [Bitter gourd],31.48,40.28,36.41,37.12,35.17,44.56,49.1,46.25,55.65,53.57,56.9,59.75,68.96
..REGION V (BICOL REGION),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION V (BICOL REGION),Chayote,15.59,17.27,19.3,15.69,18.49,23.72,28.36,24.14,32.68,28.43,26.28,29.64,25.25
..REGION V (BICOL REGION),Cucumber,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION V (BICOL REGION),"Eggplant long, purple",13.91,27.2,20.51,18.4,22.77,28.92,30.25,36.57,43.05,43.93,48.16,56.51,57.4
..REGION V (BICOL REGION),"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION V (BICOL REGION),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION V (BICOL REGION),Okra,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION V (BICOL REGION),"Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION V (BICOL REGION),Squash,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION V (BICOL REGION),Tomato,22.56,26.52,24,26.12,19.62,25.84,31.46,29.84,37.81,38.26,46.96,48.48,54.87
..REGION V (BICOL REGION),"Tomato, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION V (BICOL REGION),Upo [Bottle gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VI (WESTERN VISAYAS),Ampalaya [Bitter gourd],26.83,41.97,34.44,33.94,33.35,37.36,41.93,52.75,55.59,63.45,59.13,61.82,64.77
..REGION VI (WESTERN VISAYAS),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VI (WESTERN VISAYAS),Chayote,13.46,12.55,14.41,19.96,18.69,22.2,25.66,23.65,25.91,24.55,27.45,32.05,28.1
..REGION VI (WESTERN VISAYAS),Cucumber,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VI (WESTERN VISAYAS),"Eggplant long, purple",19.94,32.3,25.25,28.33,27.91,32.63,33.83,41.66,50.34,77.46,57.57,66.22,66.9
..REGION VI (WESTERN VISAYAS),"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VI (WESTERN VISAYAS),Jackfruit Green [Vegetable],..,..,..,..,17.94,16.82,14.63,13.31,16.38,19.65,17.63,16.9,26.83
..REGION VI (WESTERN VISAYAS),Okra,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VI (WESTERN VISAYAS),"Patola [Dishrag gourd], native",19.87,28.11,27.15,25.03,23.58,21.7,21.94,..,..,..,..,..,..
..REGION VI (WESTERN VISAYAS),Squash,11.16,17.55,16.76,17.66,14.09,15.13,13.89,16.72,19.77,20.8,17.6,24.06,24.89
..REGION VI (WESTERN VISAYAS),Tomato,20.24,27.56,29.77,33.42,29.23,30.24,36.85,37.78,45.85,53.7,53.77,46.84,53.98
..REGION VI (WESTERN VISAYAS),"Tomato, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VI (WESTERN VISAYAS),Upo [Bottle gourd],..,..,..,..,..,..,..,..,..,38.69,..,..,..
..REGION VII (CENTRAL VISAYAS),Ampalaya [Bitter gourd],32.43,40.08,37.89,40.67,42.54,46.49,59.65,58.95,59.37,66.08,61.45,64.54,65.21
..REGION VII (CENTRAL VISAYAS),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VII (CENTRAL VISAYAS),Chayote,9.38,11.51,10.9,12.65,13.47,16.43,23.25,27.51,20.36,16.18,13.46,14.22,20.26
..REGION VII (CENTRAL VISAYAS),Cucumber,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VII (CENTRAL VISAYAS),"Eggplant long, purple",19.55,23.95,19.88,22.36,24.52,28.74,36,37.77,37.42,50.94,45.48,49.72,51.43
..REGION VII (CENTRAL VISAYAS),"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VII (CENTRAL VISAYAS),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VII (CENTRAL VISAYAS),Okra,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VII (CENTRAL VISAYAS),"Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VII (CENTRAL VISAYAS),Squash,8.19,13.88,11.58,11.74,13.27,14.35,14.52,19.05,15.41,17.04,17.04,19.02,18.79
..REGION VII (CENTRAL VISAYAS),Tomato,21.81,24.53,20.48,26.7,26.75,28.47,34.63,..,40,..,29.9,..,..
..REGION VII (CENTRAL VISAYAS),"Tomato, green",..,..,..,..,..,..,..,36.83,35.86,41.46,42.12,42.61,45.63
..REGION VII (CENTRAL VISAYAS),Upo [Bottle gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VIII (EASTERN VISAYAS),Ampalaya [Bitter gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VIII (EASTERN VISAYAS),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VIII (EASTERN VISAYAS),Chayote,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VIII (EASTERN VISAYAS),Cucumber,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VIII (EASTERN VISAYAS),"Eggplant long, purple",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VIII (EASTERN VISAYAS),"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VIII (EASTERN VISAYAS),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VIII (EASTERN VISAYAS),Okra,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VIII (EASTERN VISAYAS),"Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VIII (EASTERN VISAYAS),Squash,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VIII (EASTERN VISAYAS),Tomato,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VIII (EASTERN VISAYAS),"Tomato, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VIII (EASTERN VISAYAS),Upo [Bottle gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IX (ZAMBOANGA PENINSULA),Ampalaya [Bitter gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IX (ZAMBOANGA PENINSULA),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IX (ZAMBOANGA PENINSULA),Chayote,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IX (ZAMBOANGA PENINSULA),Cucumber,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IX (ZAMBOANGA PENINSULA),"Eggplant long, purple",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IX (ZAMBOANGA PENINSULA),"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IX (ZAMBOANGA PENINSULA),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IX (ZAMBOANGA PENINSULA),Okra,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IX (ZAMBOANGA PENINSULA),"Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IX (ZAMBOANGA PENINSULA),Squash,9.84,12.95,13.39,14.95,14.39,14.22,12.63,14.6,15.84,18.37,14.82,15.41,15.86
..REGION IX (ZAMBOANGA PENINSULA),Tomato,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IX (ZAMBOANGA PENINSULA),"Tomato, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IX (ZAMBOANGA PENINSULA),Upo [Bottle gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),Ampalaya [Bitter gourd],27.64,35.12,34.01,36.9,41.03,42.98,53.05,50.49,63.98,59.38,47.37,48.95,50.11
..REGION X (NORTHERN MINDANAO),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),Chayote,8.36,10.04,9.02,9.6,9.23,11.77,14.35,10.34,10.46,10.39,10.93,9.66,12.14
..REGION X (NORTHERN MINDANAO),Cucumber,15.39,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),"Eggplant long, purple",17.25,26.82,20.19,17.78,29.94,30.11,30.24,33.84,28.53,28.47,27.07,38.2,35.03
..REGION X (NORTHERN MINDANAO),"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),Okra,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),"Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),Squash,5.38,10.26,8.79,8.26,8.3,9.91,8.8,9.45,12.1,12.7,8.78,11.48,10.87
..REGION X (NORTHERN MINDANAO),Tomato,18.78,22.36,19.7,23.07,23.13,26.27,31.71,27.86,30.3,29.61,34.36,32.19,34.21
..REGION X (NORTHERN MINDANAO),"Tomato, green",..,..,..,..,..,..,..,..,..,23.58,40.61,41.92,38.11
..REGION X (NORTHERN MINDANAO),Upo [Bottle gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Ampalaya [Bitter gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Chayote,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Cucumber,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),"Eggplant long, purple",16.11,24.35,19.49,20,21.84,24.22,26.75,27.98,29.47,32.56,22.92,47.95,49.83
..REGION XI (DAVAO REGION),"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Okra,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),"Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Squash,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Tomato,23.3,24.9,19.54,28.59,26.95,28.43,31.51,28.09,27.65,33.14,35.67,38.59,39.87
..REGION XI (DAVAO REGION),"Tomato, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Upo [Bottle gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),Ampalaya [Bitter gourd],32.34,37.19,31.69,41.45,39.76,43.05,46.38,54.37,55.03,60.47,71.95,81.38,78.74
..REGION XII (SOCCSKSARGEN),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),Chayote,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),Cucumber,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),"Eggplant long, purple",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),Okra,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),"Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),Squash,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),Tomato,22.71,23.37,22.03,25.28,21.12,23.43,27.28,25.97,29.19,30.75,40.52,44.03,45.94
..REGION XII (SOCCSKSARGEN),"Tomato, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),Upo [Bottle gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XIII (CARAGA),Ampalaya [Bitter gourd],32.34,37.19,31.69,41.45,39.76,43.05,46.38,54.37,55.03,60.47,71.95,81.38,78.74
..REGION XIII (CARAGA),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XIII (CARAGA),Chayote,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XIII (CARAGA),Cucumber,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XIII (CARAGA),"Eggplant long, purple",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XIII (CARAGA),"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XIII (CARAGA),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XIII (CARAGA),Okra,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XIII (CARAGA),"Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XIII (CARAGA),Squash,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XIII (CARAGA),Tomato,24.38,23.58,21.31,23.98,23.47,23.85,29.15,26.35,28.74,33.18,39.93,49.02,48.5
..REGION XIII (CARAGA),"Tomato, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XIII (CARAGA),Upo [Bottle gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Ampalaya [Bitter gourd],32.34,37.19,31.69,41.45,39.76,43.05,46.38,54.37,55.03,60.47,71.95,81.38,78.74
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Chayote,..,..,..,..,..,..,..,..,..,..,..,..,..
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Cucumber,..,..,..,..,..,..,..,..,..,..,..,..,..
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),"Eggplant long, purple",..,..,..,..,..,..,..,..,..,..,..,..,..
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Okra,..,..,..,..,..,..,..,..,..,..,..,..,..
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),"Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Squash,..,..,..,..,..,..,..,..,..,..,..,..,..
