Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Kidney Beans, white",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Mongo [Mungbean], green",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Mongo [Mungbean], Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Peanut with shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Peanut without shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Stringbeans,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Sweet Peas,42.7,27.4,75.44,94.64,107.43,74.2,106.57,104.38,113.69,113.33,133.71,105.76,56.42,46.45,47.16,51.09,69.48,165.88,151.23,93.89,194.88,304.29,136.6,85.23,80.49,109.65,84.14,88.3,81.38,126.15,163.62,182.79,169.67,175.31,89.58,88.55,91.71,68.08,76.25,96.73,124.79,129.33,135.36,180.19,216.75,..,67.33,116.72,79.26,64.67,64.17,118,135.13,77.47,87.43,157.69,150.08,182.93,125.67,111.78,56.22,49.64,54.58,74.72,125.17,116.08,169.69,169.45,139.91,142.43,140.42,91.11,71.8,69.9,68.67,100.92,154.22,190.58,128.52,152.23,220,256.87,225.75,118.15,44.83,65.12,76.14,93,109.34,189.06,144.58,196.21,153.15,218,213.38,177.5,109.52,92.65,95.09,87.5,..,155.85,147.85,240,229.5,243.69,144.62,108.18,124.07,109.03,76.49,80.68,185.11,..,229.19,230.93,195.32,220,162.06,113.22,76.84,113.51,66.8,110.91,147.5,155.47,149.89,153.75,169.55,178.51,225.52,190.8,..,100,..,..,..,202.18,199.44,205.97,..,..,..,..,..,..,..,..,..,..,166.5,..,282.67,162.5,112.78,124.44
..CORDILLERA ADMINISTRATIVE REGION (CAR),Sweet Peas Native,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.3,48.35,38.74,95.92,116.4,62.5,67.57,135.69,126.23,137.17,87.71,86.67,43.04,36.64,38.28,55.42,..,81.67,88,182.73,105,101.36,..,58.8,53.78,43.75,55.96,88.23,133.59,128.33,146.67,137.69,187.17,221.25,182.33,127.5,41.6,57.06,69.51,87.29,99.44,175.65,134.26,188,147.85,216.92,209.15,164.83,96.48,66.1,77.27,70.5,..,138.81,139.85,238.51,125,177.73,131.77,100.18,112.5,105.67,71.7,69.73,172.86,..,180,176.67,115.63,207.5,130,80.36,65.37,82.06,..,90,128.57,106.25,103.33,154.5,142.05,138.1,172.5,173.33,..,62.5,..,..,..,123.33,113.5,137.67,..,..,..,..,..,..,39.25,..,..,..,85.25,..,183.33,104.17,68.33,74.22
..REGION I (ILOCOS REGION),Habitchuelas [Snap beans],19.47,15.62,26.92,18.93,25.44,27.35,27.29,16.2,15.62,48.1,75,30.21,14.19,15.72,18.99,23.82,48.32,49.34,35.83,26.33,35,104.81,35.27,25.18,35.58,35.82,33.69,34.04,36.77,25.94,23.55,59.38,46.38,21.45,22.62,22.5,28.37,40.26,28.8,28.93,27.65,29.36,27.55,28.34,44.35,41.47,30.53,37.93,50.64,27.04,25.65,28.83,33.31,29.75,32.09,30.28,27.15,25.11,31.24,29.7,26.8,27.65,29.28,31.33,29.1,27.82,51.15,39.75,36.2,62.88,103.5,74,37.1,30.15,29.87,27.78,53.47,50.82,30.17,31.15,40.2,43.39,71.29,39.51,29.95,24.88,32.67,32.12,27.43,27.43,23.53,24.84,42.15,45.23,46.49,48.46,44.82,44.92,42.58,47,41.35,59.23,63.85,51.47,61,54.08,39.57,..,30.35,30.72,27,28.33,32,32,38.54,42,76,..,54.23,56.25,37,33,33,33,33.31,42.67,33.5,29.03,46.14,63.38,72.25,68.21,50,38,38.62,38.07,62.5,66.92,47.92,38.46,47.77,110.2,90.43,42.81,34.4,42.28,53.67,51.75,57.69,87.38,73.95,53.69,57.07,68.5,85.67,70.57
..REGION I (ILOCOS REGION),"Kidney Beans, white",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),"Mongo [Mungbean], green",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),"Mongo [Mungbean], Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),"Peanut with shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),"Peanut without shell, dry",56.77,57.09,54.84,54.1,52.09,54.17,53.22,58.6,57.82,68.33,68.75,71.36,67.52,68.52,72.77,..,..,..,..,78,..,..,..,..,65.98,63.76,63.8,73.07,67.25,69.03,67.6,66.33,61.36,73.25,73.55,76.65,75.65,75,70.38,71.22,73.8,66.05,63.5,57.7,52.47,65.33,64.37,62.47,64.36,63.13,62.4,61.85,63.97,64.5,63.88,63.78,63.46,66.46,65.55,63,..,..,63.89,51.93,62.34,64.23,64,63.8,64,65.43,65.65,71.75,68.55,77.84,73.15,62.31,70.07,64.63,67.45,66.2,68.24,66.45,64.35,66.2,65.8,70.14,66.24,65.12,68.45,70.43,72.7,71.71,70.2,69.1,73.22,71.66,73.43,74.13,69.88,67.58,68.34,68,69.8,71.2,72.9,72.68,72.33,..,68.85,71.74,71.2,71.2,70.95,64,66,66,66,..,68,62.5,63.33,63.33,66,66,66,66.25,70,70,70,70,70,70,70,70,70,70,70,72.69,75,75,75,83.82,85.83,87.7,85.05,82.6,82.71,82.35,83.09,83.23,83.25,83,83.5,83.2,82.73,87.06
..REGION I (ILOCOS REGION),Stringbeans,23.19,21.28,26.08,24.8,23.08,17.44,27.58,15.59,15.72,28.76,35.53,25.64,28.02,22.97,21.51,18.31,20.8,26.67,37,28.58,27,58.18,51.45,50.4,23.59,19.52,29.79,29.14,22.15,17.65,17.82,29.13,29.67,21.79,12.5,11.04,13.8,17.8,23.9,23.39,15.83,14.93,16.8,17.45,32.41,..,30.78,22.38,20.84,20.93,18.98,28.73,20.1,18.15,30.63,28.85,18.69,18.02,18.89,32.49,33.45,29.5,27.86,33,27.3,19.76,47.05,21.55,19.58,44.11,44.72,39.68,40.3,30.6,31.68,31.62,29.07,23.73,20.53,25.51,36.09,30.87,38.51,31.59,27,22.17,29.46,26.02,27.71,25.41,20.2,16.57,30.92,24.14,23.6,37.09,31.85,40.25,40.25,35.75,37.69,60.92,52.82,47.59,48,30.98,34.94,..,27.54,35.3,33,33,32.92,25.5,23,27,44.67,..,39.77,32.75,34,37,36.08,29.92,28,23.15,18.71,19.03,22.57,47.62,55.25,70.21,43.33,34.75,35.92,23.57,40,37.92,49.69,47.43,41.46,33.63,41.12,57.17,52.17,45.2,36.41,21.9,39.62,47.54,40.08,25.37,27.56,39.17,44,56.57
..REGION I (ILOCOS REGION),Sweet Peas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),Sweet Peas Native,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
